Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
ALY70424U45 - WL;16-19 XC90;22X9;5DBLMACHINED AND GLOSS BLACK,,581.89,
ALY05574U35 - ALY05575U35,,581.11,
ALY64111U15 - WL;17-19 CRV;18X7.5;6 SPKMACHD/DARK SILV METALLIC,,580.28,
ALY85371U35 - WL;15-18 C CLS;18X8.5;5DBLMACHD AND MED CHARC MET;REAR,,577.64,
"September 13, 2021 2:48:24 PM EDT",Page 3 of ,,21
Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
ALY71424U10 - WL;11-19 5SER;20X8.5;5 VSPMACHINED AND DARK SILVER FRONT,,574.82,
"ALY71515U10 - 2011-2016 BMW 528i 19""x8.5"" (71515)",,572.61,
ALY02593U20 - WL;17-19 PACIFICA;18X7.5;10VALL PAINTED BRIGHT SILVER,,570.69,
ALY05758U20 - WL;16-19 CAMARO;18X8.5;5SPALL PTD SILVER,,570.00,
ALY64047U20 - WL;13-15 ACCORD;17X7.5;10SALL PAINTED SILVER,,570.00,
ALY85083U35 - WL;09-12 SLCLASS;19X9.5;5TRIPREAR/MACH AND MED SILV,,565.00,
ALY62739U35 - WL;17-19 ARMADA;20X8;6SPKMACHD/DARK CHARCOAL METALLIC,,562.70,
ALY71380U20 - WL;10-13 5/7SER;20X10;10DBLALL PAINTED SILVER REAR,,560.00,
ALY69582U78N - SILVER - HYPER PAINT 2010 - 2018 | TOYOTA | SIENNA | 19x7 | 5-114mm (4in) | 6 SPOKE,,559.68,
ALY86422U45 cut thin - allpainted gloss black,,556.59,
ALY86128U35 - WL;14-18 BMW 228I;18X7.5;5DBLALL PTD MED CHARC/FRONT,,550.00,
ALY86422U45 - WL;19 BMW M850i;20x8;5 Y SPOKE,,550.00,
ALY03338U10 - WL;99-04FD PU SDUTY;16x7;8 HOL00-05 EXCURSION,,548.06,
ALY64016U35 - WL;11-12 ACCORD;18X8;5SPKMEDIUM CHARCOAL FF,,547.32,
ALY64127U45N - WL;18-19 ACCORD;19x8.5;5DBL FF GLOSS BLACK,,545.98,
ALY62723U46 - WL;16-20 MAXIMA;19X8.5;10SPALL PAINTED GLOSS BLACK,,540.00,
ALY59016U10 - WL;17-18 S8;21 INCH;5DBL SPKMACHINED AND SILVER,,531.30,
ALY59016U45 - WL;17-18 S8;21 INCH;5DBL SPKMACHINED AND BLACK,,531.30,
ALY67496U20 - ALY67496U20,,530.00,
ALY70029U20 - WL;18-19 ATLAS;20x8;15SPK,,528.49,
DAS.2-158 - BLACK PLASTIC SEALING VALVE CAP 100/box (635),,525.00,
ALY58952U30 - WL;15-18 S3;19X8;5DBL SPMACHD AND DARK CHARCOAL,,524.99,
ALY59817U20 - WL;07-12 XK8;20X8.5;5 TWN SPKFRONT;ALL PAINTED SILVER,,520.00,
