Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
1347R45,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,72.50,
1347R45-core,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,0.00,
1347right,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,110.00,
1347right ms,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,0.00,
1347right ms-Core,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,0.00,
1347right-Core,"1984-1987 Chevrolet Corvette 16""x9.5"" (1347R)",0,,ea,,57.00,
1368u30,1368u30,0,,ea,,70.00,
1368u30-core,1368u30-core,0,,ea,,20.00,
1402u10,1402u10,0,,ea,,70.00,
1402u10-core,1402u10-core,0,,ea,,20.00,
1423u10,1423u10,0,,ea,,50.00,
1423u10-core,"Ford mustang Thunderbird Mercury Cougar capri 15"" 85-93 CNC Silver",0,,ea,,0.00,
1458u10,1458u10,0,,ea,,70.00,
1458u10-core,1458u10-core,0,,ea,,20.00,
1475,1475 Wheel,0,,ea,,0.00,
1475-Core,1475-Core,0,,ea,,0.00,
"September 13, 2021 2:44:28 PM EDT",,,Page 5 of ,,,,528
Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
1512u10,1512u10,0,,ea,,74.00,
1512u10-core,1512u10-core,0,,ea,,20.00,
1512u45(gloss black),1512u45(gloss black),0,,ea,,70.00,
1529,"1987-1988 Mercury Cougar 15""x7"" (1529)",0,,ea,,0.00,
1529-Core,"1987-1988 Mercury Cougar 15""x7"" (1529)",0,,ea,,0.00,
1529u15-core,"1987-1988 Mercury Cougar 15""x7"" (1529)",0,,ea,,20.00,
1544u10,1544u10,0,,ea,,70.00,
1544u10-core,1544u10-core,0,,ea,,20.00,
156107471 Alfa Romeo-core,18x8 +33 cnc charcoal,0,,ea,,50.00,
1607u10,1607u10,0,,ea,,58.00,
1607u10-core,1607u10-core,0,,ea,,4.00,
1618u10m/c,1618u10m/c,0,,ea,,74.50,
1618u10m/c-Core,1618u10m/c-Core,0,,ea,,20.00,
1626L10,1626L10,0,,ea,,50.00,
1626L10-core,1626L10-core,0,,ea,,0.00,
1626R10,1626R10,0,,ea,,33.33,
1626R10-core,1626R10-core,0,,ea,,0.00,
1635u30,1635u30,0,,ea,,70.00,
1635u30-core,1635u30-core,0,,ea,,20.00,
1644u10,Cadillac Allante 16in Machined Silver Wheel,0,,ea,,64.00,
1644u10-core,1644u10-core,0,,ea,,10.00,
1646u10,1646u10,0,,ea,,65.00,
1646u10-core,1646u10-core,0,,ea,,18.00,
1686u30,1686u30,0,,ea,,72.00,
1686u30-core,1686u30-core,0,,ea,,20.00,
1703u10,1703u10,0,,ea,,70.00,
1703u10-core,15x6.5 +35offset,0,,ea,,20.00,
1737L10,1737L10,0,,ea,,0.00,
1737R10,1737R10,0,,ea,,0.00,
180 grit,sand paper,0,,ea,,28.54,
18580,Seco  NL-34L lock pin for MVJNR tool holder,0,,ea,,6.60,
18930,Seco Differential screw for MVJNR tool holder,0,,ea,,4.10,
190201u45,190201u45,0,,ea,,189.00,
"20"" wheel die cut box","20"" wheel die cut box",0,,ea,,2.30,
20018,tpms service pack ford snap-in,0,,ea,,1.09,
2001u10(Silver),2001u10(Silver),0,,ea,,72.00,
2001u10(Silver)-core,2001u10(Silver)-core,0,,ea,,20.00,
"September 13, 2021 2:44:28 PM EDT",,,Page 6 of ,,,,528
Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
20037,tpms insert beru silver rdv001,0,,ea,,8.79,
200576FE,200576FE,0,,ea,,15.55,
2021u20,2021u20,0,,ea,,70.00,
2021u20-core,2021u20-core,0,,ea,,18.00,
2026u55,2026u55,0,,ea,,73.64,
2026u55-Core,2026u55-Core,0,,ea,,20.22,
20302P,"3"" velcro pad",0,,ea,,0.00,
2054u10,2054u10,0,,ea,,70.00,
2054u10-core,2054u10-core,0,,ea,,20.00,
2055u15,2055u15,0,,ea,,71.00,
2055u15-core,"Dodge Avenger 16"" 95-97 Silver",0,,ea,,17.50,
2057u10,2057u10,0,,ea,,72.00,
2057u10-core,2057u10-core,0,,ea,,18.00,
2061,"1995-1998 DODGE STRATUS 15""X6"" (2061)",0,,ea,,0.00,
2061-Core,"1995-1998 DODGE STRATUS 15""X6"" (2061)",0,,ea,,0.00,
2061u10,"1995-1998 DODGE STRATUS 15""X6"" (2061)",0,,ea,,70.00,
2061u10-core,"1995-1998 DODGE STRATUS 15""X6"" (2061)",0,,ea,,20.00,
2067u10,Dodge Ram 16x7 Silver Wheel,0,,ea,,0.00,
2067u10silver,2067u10silver,0,,ea,,74.00,
2067u10silver-Core,2067u10silver-Core,0,,ea,,20.00,
2068u20,2068u20,0,,ea,,70.00,
2068u20-core,2068u20-core,0,,ea,,20.00,
2071u10,2071u10,0,,ea,,90.00,
2071u10-core,2071u10-core,0,,ea,,40.00,
2071u20,2071u20,0,,ea,,74.00,
2071u35,2071u35,0,,ea,,74.00,
2071u35-core,2071u35-core,0,,ea,,20.00,
2076u10,2076u10 Wheel,0,,ea,,110.00,
2076u10-Core,2076u10-Core,0,,ea,,0.00,
2081u10silver,2081u10silver,0,,ea,,72.50,
2081u10silver-Core,2081u10silver-Core,0,,ea,,21.88,
2082,"1997-2000 Dodge Durango,Dakota (2082)",0,,ea,,0.00,
2082-Core,"1997-2000 Dodge Durango,Dakota (2082)",0,,ea,,0.00,
2082u20,"1997-2000 Dodge Durango,Dakota (2082)",0,,ea,,73.50,
2082u20-core,"1997-2000 Dodge Durango,Dakota (2082)",0,,ea,,19.50,
2083u20,2083u20,0,,ea,,74.00,
2083u20-core,2083u20-core,0,,ea,,20.00,
"September 13, 2021 2:44:28 PM EDT",,,Page 7 of ,,,,528
Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
