Part Number,Magento Quantity,Total Quantity,Lowest Cost,Highest Cost,Warehouse,Warehouse Cost,Coast,Coast Cost,Perfection,Perfection Cost,Jante,Jante Cost,Road Ready,Road Ready Cost
ALY05475U20,4,4,165.85,165.85,0,0,4,165.85,0,0,0,0,0,0
ALY05476U,5,32,12.5,139.0,0,0,30,12.5,2,139.0,0,0,0,0
ALY05476U80,5,14,226.32,226.32,0,0,14,226.32,0,0,0,0,0,0
ALY05500U10,5,19,165.85,165.85,0,0,19,165.85,0,0,0,0,0,0
ALY05510U86N,5,243,344.6,344.6,0,0,243,344.6,0,0,0,0,0,0
ALY05523U20,5,17,139.56,139.56,0,0,17,139.56,0,0,0,0,0,0
ALY05526U20,5,9,165.85,165.85,0,0,9,165.85,0,0,0,0,0,0
ALY05550U10,4,4,257.91999999999996,257.91999999999996,0,0,4,257.91999999999996,0,0,0,0,0,0
ALY05556U,5,30,12.5,139.0,0,0,14,12.5,16,139.0,0,0,0,0
ALY05556U20,5,28,165.85,165.85,0,0,28,165.85,0,0,0,0,0,0
ALY05557U,5,9,12.5,12.5,0,0,9,12.5,0,0,0,0,0,0
ALY05558U,5,86,12.5,124.0,0,0,75,12.5,11,124.0,0,0,0,0
ALY05558U20,5,52,165.85,165.85,0,0,52,165.85,0,0,0,0,0,0
ALY05559U10,5,24,165.85,165.85,0,0,24,165.85,0,0,0,0,0,0
ALY05559U20,5,29,165.85,165.85,0,0,29,165.85,0,0,0,0,0,0
ALY05560U10,5,20,165.85,165.85,0,0,20,165.85,0,0,0,0,0,0
ALY05567U20,5,5,165.85,165.85,0,0,5,165.85,0,0,0,0,0,0
ALY05569U,5,13,12.5,124.0,0,0,7,12.5,6,124.0,0,0,0,0
ALY05570U20,5,53,165.85,165.85,0,0,53,165.85,0,0,0,0,0,0
ALY05572U,5,71,12.5,152.0,0,0,55,12.5,16,152.0,0,0,0,0
ALY05572U30,5,35,165.85,165.85,0,0,35,165.85,0,0,0,0,0,0
ALY05573U,5,81,12.5,152.0,0,0,66,12.5,15,152.0,0,0,0,0
ALY05573U30,5,58,229.65,229.65,0,0,58,229.65,0,0,0,0,0,0
ALY05573U30N,5,112,135.0,144.81,0,0,87,144.81,0,0,25,135.0,0,0
ALY05574U,5,9,12.5,12.5,0,0,9,12.5,0,0,0,0,0,0
ALY05575U20,5,19,165.85,165.85,0,0,19,165.85,0,0,0,0,0,0
ALY05581U15,5,8,229.65,229.65,0,0,8,229.65,0,0,0,0,0,0
ALY05581U20,5,13,229.65,229.65,0,0,13,229.65,0,0,0,0,0,0
ALY05614U10N,5,116,226.19,226.19,0,0,116,226.19,0,0,0,0,0,0
ALY05615U77N,5,69,279.1,328.67,0,0,44,279.1,0,0,25,328.67,0,0
ALY05627U,5,11,12.5,12.5,0,0,11,12.5,0,0,0,0,0,0
ALY05642U,5,31,12.5,152.0,0,0,18,12.5,13,152.0,0,0,0,0
ALY05642U20,5,32,165.85,165.85,0,0,32,165.85,0,0,0,0,0,0
ALY05645U,5,6,12.5,12.5,0,0,6,12.5,0,0,0,0,0,0
ALY05646U,5,66,12.5,152.0,0,0,65,12.5,1,152.0,0,0,0,0
ALY05646U10,5,80,165.85,165.85,0,0,80,165.85,0,0,0,0,0,0
ALY05646U10N,5,3894,144.14,216.17,0,0,3869,144.14,0,0,25,216.17,0,0
ALY05647U10N,5,332,225.31,250.3,0,0,307,225.31,0,0,25,250.3,0,0
ALY05648U85N,5,27,244.01,325.3,0,0,11,325.3,0,0,16,244.01,0,0
ALY05649U10,5,6,165.85,165.85,0,0,6,165.85,0,0,0,0,0,0
ALY05649U10N,5,253,155.61,155.61,0,0,253,155.61,0,0,0,0,0,0
